id,name,type,party
ul,Ursula von der Leyen,1,cdu
lk,Lars Kingbeil,1,spd
nr,Norbert Röttgen,1,cdu
sw,Sara Wagenknecht,1,linke
cs,Constanze Stelzelmüller,1,NA
cl,Christian Lindner,1,fdp
ks,Karl Schlögel,1,NA
lm,Ljudmyla Melnyk,1,NA
kd,Kristina Dunz,1,NA
el,Egils Levits ,1,NA
ab,Annalena Baerbock,1,grüne
ft,Frans Timmermans,1,NA
am,Andrij Melnyk,1,NA
al,Alexander Graf Lambsdorff,1,fdp
er,Egon Ramms,1,NA
rh,Robert Habeck,1,grüne
cm,Claudia Major,1,NA
kp,Katja Petrowskaja,1,NA
rk,Roderich Kiesewetter,1,cdu
cdu,cdu,2,cdu
spd,spd,2,spd
grüne,grüne,2,grüne
linke,linke,2,linke
fdp,fdp,2,fdp
500,Folge 500,2,NA
501,Folge 501,2,NA
502,Folge 502,2,NA
503,Folge 503,2,NA
NA,NA,NA,NA
